timestamp,market_id,market_name,bet_id,bet_name,last_trade_price,buy_yes_price,buy_no_price,sell_yes_price,sell_no_price,volume
2024-10-30T18:27:35.269875+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:28:35.457961+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:28:35.457961+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:29:35.929040+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:29:35.929040+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:30:36.138834+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.59,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:30:36.138834+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:31:36.585979+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:31:36.585979+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:32:36.784259+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:32:36.784259+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:33:36.989664+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:33:36.989664+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:34:37.199362+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:34:37.199362+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:35:37.462961+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
